Company Name,Location,NAICS,Business Description,Month Announced,New/Expansion,New Jobs,Investment (MM$)
AGF Machining*,Chesapeake,333517,Canadian manufacturer; vendor for TDI-Kriss,4/2/2018 12:00:00 AM,N,10,0.5
Mygrant Glass Company,Virginia Beach,423120,Wholesale and distribution of auto glass,4/2/2018 12:00:00 AM,E,25,0
"Serco, Inc.*",Virginia Beach,551114,Provides services to the federal government,4/2/2018 12:00:00 AM,E,118,0
Virginia Natural Gas,Virginia Beach,551114,Regional HQ; natural gas service provider,4/2/2018 12:00:00 AM,E,110,6.5
BCF,Virginia Beach,541810,Advertising and public relations,4/2/2018 12:00:00 AM,E,0,0.28
CSC,Virginia Beach,541512,Information technology services,4/2/2018 12:00:00 AM,E,10,0.1
DCS Corporation,Virginia Beach,541330,Mission-critical engineering services,4/2/2018 12:00:00 AM,E,2,0.08
Halcrow,Virginia Beach,541330,Engineering Services,4/2/2018 12:00:00 AM,E,3,0.2
Impression in Print,Virginia Beach,323119,"Creates, warehouses, and distributes branded products",4/2/2018 12:00:00 AM,E,10,1.14
Ironclad Technology Group,Virginia Beach,541512,IT and engineering services,4/2/2018 12:00:00 AM,E,0,0.18
Klett Consulting Group,Virginia Beach,541611,Financial consulting for public and private clients,4/2/2018 12:00:00 AM,E,12,0.35
"Loan Care, LLC",Virginia Beach,522291,Corp HQ; Consumer loan processing,4/2/2018 12:00:00 AM,E,50,0.1
Nexus Direct,Virginia Beach,541860,"Advertising, marketing, and fundraising",4/2/2018 12:00:00 AM,E,2,0.18
Novonics Corporation,Virginia Beach,541512,"Management support, systems engineering, software development, test evaluation services",4/2/2018 12:00:00 AM,E,2,0.05
"reQuire, LLC",Virginia Beach,541511,Web-based lien release tracking and reporting services,4/2/2018 12:00:00 AM,E,36,0
RK&K,Virginia Beach,541330,Full service engineering company,4/2/2018 12:00:00 AM,E,12,0.1
SYNTECH,Virginia Beach,541512,Integrated computer systems design,4/2/2018 12:00:00 AM,E,4,0.05
Tidewater Fleet Supply,Virginia Beach,423120,"Full-line automotive, truck, and heavy equipment parts distributor",4/2/2018 12:00:00 AM,E,0,1.25
Turner Strategic Technologies,Virginia Beach,541512,"Tactical and IT consulting, environmental management, engineering support",4/2/2018 12:00:00 AM,E,18,0.17
"Virginia Asset Group, Inc.",Virginia Beach,522320,Community based financial services firm,4/2/2018 12:00:00 AM,E,5,0
Restaurant Depot,Virginia Beach,493110,Wholesale & distribution of restaurant equipment,4/2/2018 12:00:00 AM,E,50,9
TechnoServe,Arlington County,541611,"Creates business solutions in developing countries to help build competitive farms, businesses, and industries",4/1/2018 12:00:00 AM,E,60,0
540.co,Arlington County,541611,Develops and offers user-centered design and agile software to help government customers,4/1/2018 12:00:00 AM,E,20,0
Metis Holdings,Roanoke County,524298,Insurance and risk management services,3/29/2018 12:00:00 AM,E,0,6
Asian American Chamber of Commerce,Loudoun County,813910,Economic development for Asian Pacific American owned businesses,3/27/2018 12:00:00 AM,E,4,0.25
Tegra Global,Norfolk,315990,Apparel manufacturer and supply chain provider,3/26/2018 12:00:00 AM,E,300,4
Fairlead Boatworks,Newport News,336611,Ship building and repair,3/26/2018 12:00:00 AM,E,60,3
Liebherr USA*,Newport News,333120,Manufactures construction machinery,3/22/2018 12:00:00 AM,E,0,45
U.S. Customs and Border Protection,Loudoun County,921190,IT office expansion,3/22/2018 12:00:00 AM,E,0,179
Commune Bakery LLC,Virginia Beach,311812,Commercial bakery,3/20/2018 12:00:00 AM,E,5,0.163
Tessy Plastics,Lynchburg,326199,Custom injection molding,3/20/2018 12:00:00 AM,E,34,9.2
BioInformatics Inc.,Arlington County,541910,Market intelligence for life sciences,3/19/2018 12:00:00 AM,E,27,0.175
Richlands Creamery LLC,Dinwiddie County,424430,Commercial creamery,3/19/2018 12:00:00 AM,E,17,1.7
"Paymerang, LLC.",Chesterfield County,522320,Technology platform that enables its clients to pay all their vendors electronically,3/19/2018 12:00:00 AM,E,100,0
Shenandoah Valley Organics,Harrisonburg,311232,Organic Poultry Processing,3/17/2018 12:00:00 AM,E,0,0
"KMR Aviation Services, Inc.",Bedford County,336411,"Leasing, certifying, selling parts, and providing maintained solutions to the airline industry",3/15/2018 12:00:00 AM,E,12,1
EclecticIQ*,Fairfax County,518210,Provides cyber threat intelligence technology,3/13/2018 12:00:00 AM,E,0,17
MicroStrategy Incorporated,Fairfax County,511210,Provides software that transforms the way they conduct business,3/12/2018 12:00:00 AM,E,300,6
England Furniture Company,Lee County,337121,Manufactures upholstered furniture.,3/8/2018 12:00:00 AM,N,79,1.3
Panaceutics,Pittsylvania County,541712,Provides personalized medicine and nutrition solutions,3/6/2018 12:00:00 AM,E,70,5.817
Multiview Inc.,Alexandria,541511,Business to business digital marketing and computer programming,3/1/2018 12:00:00 AM,E,8,0
Accenture*,Arlington County,541611,"Management consulting, IT and systems integration, business process outsourcing",3/1/2018 12:00:00 AM,E,500,1.64
Power Systems & Controls,Richmond City,335314,"Designs, manufactures, and services power quality needs around the world",2/28/2018 12:00:00 AM,E,20,1.4
"Innovairre Communications, LLC",Bedford County,424110,Manufacturer of direct mail fundraising campaign materials,2/27/2018 12:00:00 AM,E,12,4.85
West Creek Financial Inc.,Henrico County,522298,"Financing for furniture, appliance, and mattress retailers.",2/27/2018 12:00:00 AM,E,100,0
Cuisine Solutions,Loudoun County,311412,"Manufactures fully cooked, frozen entrees and sauces",2/26/2018 12:00:00 AM,E,200,17
Vignet,Fairfax County,541990,"Software As a Service product for individual, public, and population health management.",2/21/2018 12:00:00 AM,E,97,2.25
Old Hill Cidery,Rockingham County,312130,Cidery,2/21/2018 12:00:00 AM,E,5,0.5
Eastern Panel Manufacturing,Pittsylvania County,321214,"Specializes in supplying office, residential, and contract furniture manufacturing",2/15/2018 12:00:00 AM,E,15,1
Cogar Manufacturing,Giles County,333120,Manufactures mining equipment,2/14/2018 12:00:00 AM,N,60,2.5
"Valkyrie Enterprises, LLC",Norfolk,541330,"System engineering and acquisition support, readiness, modernization",2/13/2018 12:00:00 AM,E,30,0
Terramar USA*,Norfolk,424910,Supplier of raw materials for animal feed,2/13/2018 12:00:00 AM,E,20,0
Becker Global America,Washington County,335311,Designs and builds custom electrical equipment,2/8/2018 12:00:00 AM,E,0,0.15
Lighthouse Instruments,Albemarle County,334513,Manufacturer of optical based systems in sealed containers,2/7/2018 12:00:00 AM,E,10,4.885
Opterna International,Loudoun County,335921,Manufacturer of fiber optics,2/6/2018 12:00:00 AM,E,20,0.25
CGI Federal Inc.*,Arlington County,541512,"Information technology consultants, defense contractors",2/1/2018 12:00:00 AM,E,100,0
OpenWater,Arlington County,511210,Software Publishers,1/31/2018 12:00:00 AM,N,90,0
Federated Wireless,Arlington County,541712,"R&D in the Physical, Engineering, and Life Sciences",1/31/2018 12:00:00 AM,E,40,0
"Chaos Mountain Brewing, LLC",Franklin County,312120,Craft brewery,1/31/2018 12:00:00 AM,E,5,0.25
Bcause LLC,Virginia Beach,522320,Data mining and digital currency,1/16/2018 12:00:00 AM,E,100,100
Graham Packaging Company,Campbell County,326160,"Designs and manufactures plastic containers for liquid products for consumer consumption, such as nutritional supplements",1/13/2018 12:00:00 AM,E,8,6.7
Electric Motor & Contracting,Chesapeake,811310,"Re-manufactures electric motors for the maritime, water/waste, and energy industries",1/12/2018 12:00:00 AM,E,0,3
Sumitomo Machinery Corporation of America*,Chesapeake,333249,Global leader in power transmission and recognized as one of the premier power transmission and control solution providers,1/11/2018 12:00:00 AM,E,26,10
"Muhlbauer, Inc.*",Newport News,334413,"Consultant and manufacturer of automation solutions for smart card and label, semiconductor backend, and vision industries.",1/11/2018 12:00:00 AM,E,12,7
Rosendin Electric,Loudoun County,238210,Electrical contractors,1/11/2018 12:00:00 AM,E,300,6.5
Service Center Metals,Prince George County,331316,Aluminum extruded product for sale to the wholesale market through metal distributors,1/10/2018 12:00:00 AM,E,58,45.243
Amthor International,Pittsylvania County,332420,Customized metal tanker truck fabrication and manufacturer,1/10/2018 12:00:00 AM,E,70,2.5
"Mohawk Industries, Inc",Rockbridge County,314110,Floor manufacturer that creates products for enhance residential and commercial spaces,1/8/2018 12:00:00 AM,E,15,10
Interstate Group LLC,Giles County,336214,"Company is engaged in the design, manufacturer, and marketing of trailers.",1/5/2018 12:00:00 AM,N,83,4.1
"RPC Superfos US, Inc*",Frederick County,326112,Provide injection molded plastic packaging solutions.,1/5/2018 12:00:00 AM,E,35,9.7
M&H Plastics*,Frederick County,326160,"Specializes in the production and decoration of high-quality plastic bottles, jars, flexible tubes, and closures",1/5/2018 12:00:00 AM,E,157,12
Atlantic Credit and Finance,Roanoke City,561440,"Servicer of unsecured, consumer-distressed assets",1/4/2018 12:00:00 AM,E,115,4
Yes&,Alexandria,541810,Digital marketing agency,1/1/2018 12:00:00 AM,E,30,0
"22nd Century Technologies, Inc.",Fairfax County,541511,"IT services, primarily for federal agencies.",12/31/2017 12:00:00 AM,E,100,0
Claroty,Fairfax County,561621,"Company detects cyber threats with advanced, real-time anomaly detection engine.",12/31/2017 12:00:00 AM,E,2,0
BNY Mellon Wealth Management,Fairfax County,523920,"Provides wealth management services to private clients, family offices, institutions, and endowments.",12/31/2017 12:00:00 AM,E,4,0
Cyren,Fairfax County,541511,Company uses its extensive cloud-based detection capabilities to power an advanced suite of SaaS security solutions that protect businesses when they use the internet.,12/31/2017 12:00:00 AM,E,3,0
"Datastrong, LLC",Fairfax County,541512,Business management software and services,12/31/2017 12:00:00 AM,E,15,0
